,product_category_name_english,lemmatized_text
0,agro_industry_and_commerce,gostar produto entregar bem rápidootimo produto pro dia diaentregar voltar dificuldade re ecebele novamente motivo digitar numero errar predio entregarchegar dentro prazo instalar funcionar bemmuito bom produto entregar realizar dia antes prazo satisfeitoexcelente custobenefíciorecebi antes prazo empresa eficiente muito satisfeita recomendoproduto entregar dentro prazoatender necessidadesótimo produto atender necessidade produto ótimo qualidadeproduto comprei foto entregar completamente diferente marca empresa fornecer comprei cartão henry cartão evolutionrproduto vir errar sim recomendarer produto chegar antes data tudo certinhogostarrecebi dentro prazo produto excelenteesperar resposta celular email ate momento nadatop recebir antes prazo ja usandoproduto entregar conforme anuncio porém vários defeito quebrar trincar peça soltar momento retorno devolução troca produto aguardar produtosimplesmente servir pra nadao detector defeito solicitar trocanaõ egue combinar ninguem ligar satisfação produto entregar rápido gosteicomprar modelo mandar antigo quero troca recebir antes prazo tudo certo satisfeitaotimoproduto entregar momentoproduto foto exageradamente grandeproduto entregar durar semana apresentar defeitonão produto chegar passível instalação manual necessário entrar contato empreaa fabricante produto caro exigir plataforma Windows instalação configuraçãorelogio ver defeito preciso fazer troca bimo aparelho bom fácil manuseio chato configurar ainda regulei todo manual fácil compreensão interessante fornecedor testa antes enviarentregar prazo produto atender prontamente necessidade emprêsproduto chegar rápido forma solicitarparabéns td certinhobom qualidade preçorecebir produto antes prazo realizeir compra três cabo recebi somente porém paguei preço três quero devolver produto receber dinheiro voltacorreu tudo dentro combinarproduto atender função porém cabo rígido demais difícil enrolar desenrolar guardar preferir maleáveldever entregar residência combinar hora compra infelizmente enganar povo perder hora trabalho ir retirar mercadoria ag Correiosnao avaliar ja ainda nao recebiainda aguardar produto aceitar justificativo tempo compro loja lannister façanho ainda acontecer aguardo soluçãobom atendimento entregar prazopedir maquina estampa x vir prensa camisa falto restante item favor querer trocar devolver produtovir ate raper por nao vir em emguma protecao embalagemveio prenca seca Caixa nada pra nao bater pra nao machucar algum componenteproduto chegar prazo porém manual utilizar maquina Manuel mesmo fiquei pouco insatisfeito ponto produto vir correto por faltar manual instrução entrar contato empresa por obtive resposta equipamento parar pois referencia usalobom acabamento excelente atendimentofiz ótima compratempo entregar agora recebi produtoentregar prazo problemaproduto funcionar propor poder classificar semipró deixar desejar material acabamento bocar moagem metal poroso difícil higienizaçãootimoexcelente leitor superar expectativacomprei dois item recebir apenas
1,air_conditioning,fazer pedir tempo aprovação pagamento pedir cancelado falta estoque reembolsar querer ventiladorCaixa produto chegar amassado Correios informar q vendedor nao optar embalagem apropriar dever responder proprio vendedor nao querer levar mercadoriaentregar rápido ionizador bom respirar bom recomendoatender prazoo produto otimo correr tudo bemdemor pr Entregarok entregar correto prazo impedimento relatar outro email justificar atraso entregar produto em esse momento ainda recebi compra aguardo informação patrícer td ok produto d otimo qualidade chegar antes prazofidjvjvjfvvvopgifqwvcvjkdjvvnlxnsfkerwgxodfewfjcjkvkvkdvbjfgopvmgovpogffojifjvvdhfrhgccdvigrervirigvrghthvgfgg vt djg v frgkfkefkvifh c krgiyrvke fbrekughrgqualidade produto deixar desejar pois frágil longe originalòtimo produto chegar antes prazovaler pena comprar chegar comprar antes data prever recomendo precisartudo dentro esperarsite correios informar entregar porém produto entregarpalavra tão satisfeitoproduto entregar bem antes prazo preversuper recomendo entregrar tempo certoexcelente produtosatisfeito okproduto atender proposito bom qualidade recebir antes prazo acordarentregar produto divergente haver comprar além vir todo acessório constante descrição anuncio solicitar providência urgentefiquei satisfazersempre compro loja amaricano nunca problema super confiávelentregar antes prazo estabelecer satisfeitar parabéns lannisteralgo acontecer errar pois recebi item contudo recebir outro item comprei mesmo ocasião aguardo retornobommuito rebarba hélice produto risco corte acidente manusear soubesse fazer aquisiçãoentregar rapirreferente nf vir valor freteatraso acontecer nenhum empresa livre passar algum problema logístico fato comunicarer cliente final vergonhoso mercado livre controle sobre atrasogostar atendimento rapidezbom fácil rápido navegação site entregar bem antes prazo combinarbom produto eficaz quilo dever sera entrega fazer dentro prazo testei produto vir certo bombom trabalhoproduto conforme esperarde esse bom poder colocar controle remoto funcionar perfeitamenteesperar obter resposta encomenda compr ce ontrole remoto ar condicionado apenas recebir controle komeco controles elgin pedido pagar entregar controle elgchegar antes prazo ótimo produtoaté agora recebi produto Correios receber fazer entrega vergonha trazer muito trastornodemorar quase mes pra chegar finalmente chegar nao Ligaenquanto insatisfeitaproduto Entrgue dentro prazosatisfeito compraficar desejar fato pagar frete ter ir pegar correiorecebi produto ontem tratar ventilador teto comercial alto preço imaginar pequeno hélice açomo plásticofaltar identificar voltagem embalagem nota fiscal necessário abrir embalagem pra ver existir selinho voltagem colar motorainda usar produto gostar ver bomentregar super rápidocomprei produto ar transformador suporte recebir ar transformador recebir suporte momentoproduto vir avariar ate momento obtive retorno solicitaçãoainda recebír produtodever avaliar fornecedorproduto vir lampar quebrar esperar retorno baratheonentrega antes prazo produto bem embalado recebi prazo corretamente facilidade comprar pagarporém pedir vir avariootimo produto entregar prazo correto funcionar bem frescura ter configurar usarcomprei preto vir azul porém funcionar vir defeitoproduto vir defeitonão entregar agoraéo correio falar ninguém pra receber comprei ventilador mês vir torrer base quebrarmercaduria nao fue recibir nao ligan avisar entrega app nao colocan previsão entregar confunderrecebi produto errar fiz estorno mês ainda receir dinheiro voltaproduto enviar diferente aquisição fiz devolução aguardar retornoo produto vir errar tomar providência troco aguardar ventilador certo ir vertudo okcompra entregar tudo certoquanto ventiladoraindar instalarproduto chegar prazo perfeito condiçõesentreguir prazo equipamento atender necessidade excelente aquisiçãoatender expectativa porém frete vir discriminado nota fiscal preciso comprovante enviochegar antes prevercancelei compra dia assim enviar produto querer fazer devoluçãoproduto ótimocarar falar impressionante rapidez entregar recomer todoproduto excelenteaguardar entregao produto receber diferente especificar sitenão produto comprei ir servir okagradeço pois recebi produto correto conforme encontrar site entregar super rápidar fiquei satisfeito certeza ir recomentar amigoproduto bem embalar tudo corretorecomendar princípio fiquei preocupar longo prazo entregar dia útil porém chegar pouco antesainda recebi produto qualquer satisfação favor entreguir logorecebi produto ainda ressarcer valor pagoproduto ótimo qualidade vir faltar suporte utilizamos transferir transportar ventilador lugar outroentregar voltagem diferente compracomprar unidade delfetor arcondicionado receber unidade receber agora liguei vendedor vez dizer ir mandar fazer semana nadaproduto vir tortonão recebi produtocomprei dois rolo papel parede conforme anúncio recebir dois rolo cor caramelo flor bege horroroso feio totalmente desconformidade abri reclamação péssimorecebi prazo produto bomproduto extraviar entrega furtar carro Correios cancelamento solicitar email site lannistercom poder avaliar loja recomendalar devido motivoenganar produto similar boschnao prestei atenção hora comprarquar surpresa receber ver produto similarser pra comprar produto dessedo produto comprei receber apenas mandar mensagem agora respostaentregador poder outro empresa pois comprei outro produto em esse loja entregar rápido seguro pois feito empresa dar atenção clienteokajudar solucionar erro comprador atencioso
2,art,produto bom entrega conforme combinar nenhum tipo problema adorar mercadoriapreciso ajudar produto chegar prazo porém ficar satisfeito cor oferecir possível troca produtoar devolução novo compra cor escarlate funcionarbom entrega super rápidaadoraragil entregar produto excelentebotão fraco pressão fechamentoquadro bonito pra quarto super recomendoexcelente apontador segunr pontar perfeitosomente unidade spray comprar pagar dois unidade nota fiscal constar dois unidade preciso ressarcir valor referente Unidade sprayproduto qualidadecanetinha dois funcionar tr sair tintabonitoentrgar prazo produto bom produto entregar prazo bom preçoquadro bonito ficar perfeito qualquer ambiente imagem pinturo perfeito igualzinha anúncio porém achar material pouco resistente acabamento borr peça lindoatér momento recebi quadrogostar cor lindas produto vir madeira leve parecer material tipo Contact ler placar bonito otimonão chegar produto perfeito cor viva simplismente ameeiproduto específicaçãogosteer compra descriçãor produto quanto material verdadeiro burocracia troco prefiri ficarinfelizmente descrição foto refletir produto produto baixo qualidade poder nunca descrever quadrosatisfeita prazo encerrar dia presente data entreguegostar saber fazer pois entregar comprei quadro lojar targaryen entregar dia útil entregar terceiro dia útil após confirmação pagamento recomendar rapidez produto quadro foto parecer grande realmente émuito bomrecebi produto certinho querer reembolso frete pois paguei ir buscar correio Gastei gasolinar ainda paguei frete sacanagema descriçãor produto refereser material acabamento parecer bom porém recebi produto mdf nada adesivo mal colar discreta bolhaso produto chegar prazo porém item vir errar entrar contato vendedor dizer mandaria produto correto aguardar código rastreio produto corretosão placo mdf cor vibrante preço justo bom achar quadro grande assim ficar mto bomproduto entregar bem antes Prasoquadro lir entregar prazoo quadro bem bonito parecer grande lir gostar achar após confirmação pagamento demorar postar produtobom dia sério problema pq site dizer quadro entregar encomenda receber casa proceder preciso ajudar qualidade bom completar sala todo amar conforme vários comentário anterior produto impresso espécie madeiro mm imagem vivo lindar valer pena ter de esse opinião satisfeitose soubesse comprar maiorpois belíssimo quadropela imagem achar q tela molduro pq discrição escrever q espessura cm q verdade mdf mm fiquei pouco fustratar tudo bem produto chegar antes prazo entregar satisfeito atendimento lannistercom so gostei pq quadro vir protegir caixa vir so embrulhar papel bolha material frágil dever embalar transporte bom dia constar site lannister recebir dois produto comprei porém ainda faltar quadro leão rastreei tbm constar entregar quero quadroproduto entregar antes prazo produto bem fazer recomendoexatamente imagem belo efeito ambiente entrar comentaconsta produto entregar porém recebi produto constar sistema recebir além pagar caro frete material produto valer valor próprio material fraco loja específico Material telo nãoar ficha técnico produto condizr mercadorio entregar Propaganda enganosamuito rapirproduto lir maravilhoso fácil montar perfeitoveio tudo certinho antes datar previstaapena pequeno pedaço árvore vir c Madeira comidavar tentar preencher c pó madeirapróximo aniversário irar montar peça ver bomrecebi antes prazotudo ocorrer forma eficientevendedor cumprir anúncio óculos atender esperadoótimo produto custobenefíciolinda pedir senhora aparecer vir fátimamal linda ameiadorar produtoprazo entregar demorar produto bom apenas pouco durar hora abrir tesouracâmera funcionaragilidader semana diferencialusar ainda entregar rápidosentregar antes prazo produto ótimoo produto chegar perfeito estado amei super recomendo pois fonte renda extra chegar antes prazo satisfazerainda poder avaliar produto aguardar matriz botão comprar site loja lannister estranhar fato nota fiscal de esse produto ter ser emitirreceber prazo produto anunciadoexcelente vendedor÷ recebir antes prazo produto ótimo bem embalarrecebi antes prazo recomendoe bm cmprar eficiencia loja enviar produto ver Correios funcionar recebi produto casa ficar posto único dia puder ir lá devolver remetente fiquei produtentregar antes data esquadro vir empenarcomprei item mar filipina gostar vir bem colorirentregar prazo bem embalarentregar antes prazo corretamente
3,arts_and_craftmanship,rapir entrega perfeitochegar antes prazoexcelenterecebi dia rápido tudo perfeito parabénsfrisador comprei especificamente sfolh nao frisa nao realiza funçao nao molda eva testar vario material diferente infelizmente nao funcionarrecebi produto forma corretar antes data estipular satisfeitoo produto chegar voltagem errar quebrar aguardo troca mercadoriasolicitar volts entregar volts desejo envio resistência voltsproduto chegar quebrado consigo realizar troca site lojabonito chegar prazo poder ter indicar número pedir embalagem saber
4,audio,produto vir prazo recebir porque solicitar cancelamento lamentávelo mp Player bonito pequeno contudo som ruim ruído chiar troquei fone ouvir apple mudar nada problema qualidade produtorecebi produto relógio Feminino pulso hello kitty infantil adulto roso bebê vir faturar novo junto mp hello Kittyerro acontecer deixar recomendar loja comprei amplificador voz branco gostar telo receber cor pedir possível fazer troca de este produto comprei produto cor branco inclusive cara porém recebi produto cor preto bomainda recebi produto parar gonçalo desde dia chegar bem antes prazo informadoinfelizmente produto chegar momento aguardar algum informação concreto lannister fornecedor quanto situação gentileza dêem algum retorno produto entregar prazo determinar aguardar produtomeu produto entregar agora previsão entregar hoje nadasuper recomendoentregar produto okproduto entregar defeito pulseiro cortar com si contato adequado retornoprodutor qualidade entregar demoradaolá achar valor produto adquirir pouco contar outro site loja físico produto entregar antes prazo estipular nenhum avaria perfeito estado produto abaixo expectativa vir lacre abrir gostar solicitar devolução produtoproduto receber antes prazo bom parabemjeito descrição satisfazer bom produto custo beneficio indico aparelho defeito ir precisar trocaro produto Entrgue andar recebíar nenhum contato empresa justificar motivo entregar produtotudo certo entregar antes prever recomendoparabém profissionalismorecebi produto datar estipular ainda aguarde mercadorioentregar super rápido produto entregar modo correto preciso tempo agora testar qualidade materialgostar som mt bomrecebi produto pedir testei funcionar direitoentregar realizar bom produtoproduto perfeito atender expectativa fiquei satisfeitoproduto entregar prazobombom produtoentregar antes final prazopossuir ótimo qualidade porém cabeamento frágil recomendar sim pois bombomproduto bom recomendooequipamento funcionar Mini cartao sd nao encaixa computador reconhecer conectar cabo usbcomprar Baratheon Bomrecebo sempre produto dentro prazoentregar rápidar antes prazo recomendarproduto adquirir excelente qualidade vir bem embalado entregar bem antes prazo gostarproduto vir Cabo usb fontea caixo dentro vir danificar principalmente parecer original aguardar soluçãomuito bom entregar antes prazoentregar rápidobom caixinhar som obrigarcomprei produto recebir outro inferior gostar receber resposta reclamação fiz anteriormente att suzano Costapresente data recebi compra exijo solução urgentechegar antes prazo satisfeitoproduto chegar rápido esperar ótimas condiçõesdemorar chegar produto vir perfeito condição Lindomuito satisfeito recomendar todoproduto qualidade médianão reconhecer pc ser q atualizadíssimo referir driversfiz compra aparelho mp chegar mandei email reclamar enviar produto faltante devolução dinheiro obtiver respostaapesar ter receber produto errar recomendo produto memoria informar precisar ir ficar mesmooko produto funcionar descrever site comprasegur rastreio produto entregar momento recebio produto problema defeitoum vergonhaúnico problema ainda recebi produtomelhor empresae otimo loja okproduto prazo entregar dia entregar dia produto receber possuir especificação indicar paguei produto chegar data previstaentreg prazo gostar produto bomchegar antes prazofui atender dentro expectativa prazo valor produto além poder voltar comprar recomento tambémnão recebi produto Stark dizer acabar estoque dar valer compra querer dinheiro voltar estorno agora saber solicita estorno fazer gratoa loja atencioso vir bem embrulhar fiquei assustar rapidez entregar bomrecomendo chegar rápido ameir rádiochegar prazogostar rapidez entregar mercadorio bem embalar bem antes prazo parabénsminha filha comprar gostouproduto replicoproduto contra versia aparelho pequeno resto bomloja bom bem atencioso atendimento valer pena comprar dentro combinado adorar comprar loja site chegar td super rápido direitinhosatisfeitar entregar antes esperar gostar Luz relógio laranja estranho clareia nada outro ver tutorial ajustar hora produto receber antes prazo estabelecidoproduto excelente qualidade bonito atendimento bom entregar dentro prazoentregar antes prazo excelentefiquei triste ansioso pois código rastreamento informar onde pacote chegar por dia atraso sim satisfeito pois problema Correios vendedorentregar produto comprarbomproduto dentro especificação chegar dentro prazo preço otimo aquisiçãomuito boaproduto mostrar fone auricular cerca cm embalagem vir danificar rachar faltar pedaço vendedor retornar pedir devolução ressarcimentoo produto vir caixa mp quebrar parte caixo quebrada grande defeito baterio mp Player bomveio defeito reconhecer nenhum computador funcionanão gostar produto solicitei devolução site lannister informar hora ir dar retorno momento ninguém manifestar querer devolver produtorecebi mp fone ouvidoproduto vir quebrar fazer troca chegar bem antes prazo perfeito estadoprodutos bom porém ainda conseguir acessar via pcer mp produto chine mau qualidade existir áudio péssimo bateria durar apenas min trocar fone pra jbl áudio ainda horrível recomendo ninguém comprarecebi produto testar porém funcionar entrar contato empresa informar ir reenviar novo aguardocontente aentregao produto bom gostar fone foto vir fone ouvir ruim querer pouco bom preço contar fone Machuca olheiraproduto bom entregar dentro prazo valer rapidez entregan vir produto Beats phill mandaram cor diferente q pedir produto vir defeito n liga msm carregarótimo compra bom vendedorlevar tempo grande esperar receber ainda dentro prazo legalfiquei satisfeito aquisiçãobom produto chegar antes prazorecebir produto falsificar vir relógio dentro Caixa papelão enrolar espécie barbante junto manual chinês recomer otimo produto entregar antes data prever achar pequeno ficar largo Pulsoo prazo entregar expirar recebi produto entrar contato site momento recebi nenhum retorno targaryen site Lannistervalor produto site frete emitir nota fiscal valor inferior valor sitepor queestar previsto chegar antes super agradeçorecebi bem antes prazo recomendo entregar excelenteo problema lojar sim entregar produto tá pra completar mês relógio chegar bem chatear realizeir compra produto ainda encontrar trânsito sistema monitoramento mercadoria horrível atualização diária menos simultânea péssimoo produto lir super levar ficar lir pulso sobre entrega chegar antes prazo sempreadoreio relógio lir corresponder expectativa hora fazer ajuste achar bem difícil precisar ir relojoario ajustar eu hehehehehe comprei produto dia fevereiro hoje dia marco entregar residênciar saber correio de esse Brasil péssimo próprio loja demorar postarprimeira vez fazer pedir internet após dia ainda recebi produtoera pra dar presente ser dia aniversário passar muito dia último compra americrecebir relógio tempo record fiquei contente obrigadatudo primeiroadorar exatamente oque esperavajá cliente ano loja lannister bem parceira nunca problema algum entrega prazo quanto mp gostar simples fácil usar aprovadodiante taxa alto frente torno valor produto período entregar grandeestimado dia útil empresa conseguir firma prazo entregar lamentávelo mostrador mp cabeça baixo funcionar problemao mp Player funcionar trocar pilha diversos vez devolverir produto vir embalagem superprotegida mostrar cuidado vendedor cliente satisfeito processo compra produto fone ouvir má qualidade produto manual instrução ruimrecebir produto dois semana antecedêncer boa obrigadoaté data recebir posicionamento sobre entrega produto comprar apenas enviar email dizer problema entregar agora nadaproduto entregar rápido conforme anunciar recomendo todo iblmuito bomproduto chegar prazo perfeito condição prático levarproduto descrito gostar pq som alarmir baixo produto exposição imaginamos entregar data correto devidamente embalar oportunidade ver radio relógio físico compraria deixar desejar infeliadoro comprar lannisterrecebi produto corretamente por nao gostar produtoo produto vir manual ingle france alemao bastante dificuldade colocar funcionarrecebi prazo certo recomendo lojamuito fofo radinhoamei tudo ordemrecebir ainda testar tudo ordem esperar estejaentrega rápido problemaproduto quê imaginar querer devolvêlo pequeno demais consigo enxergar nadaainda entregar produto rádio portátil sonyproduto qualidade entregar rapirainda opinião sobre loja poder dizer recomendo recebi produto saber problema grever dever ter afetar entregar chegar prazo aguardoentregar produto correto prazocompra seguro tranquilo
