geolocation_zip_code_prefix,lat,lng,state
1001,-23.550107322782644,-46.63402704170751,SP
1002,-23.54822752192854,-46.63524674639332,SP
1003,-23.548976041765286,-46.63531755467713,SP
1004,-23.549550003606676,-46.634770582289825,SP
1005,-23.54968972289983,-46.63653202553522,SP
1006,-23.550317224536894,-46.63622549584506,SP
1007,-23.550357583126537,-46.63730164071784,SP
1008,-23.545395979326535,-46.635598592835734,SP
1009,-23.54634051373424,-46.63623850320264,SP
1010,-23.54651967554392,-46.63537497475324,SP
1011,-23.546690486964888,-46.6354469588072,SP
1012,-23.54774227061568,-46.63482872807575,SP
1013,-23.547271573273115,-46.63423572661436,SP
1014,-23.546340786283146,-46.63351650721335,SP
1015,-23.54786209762537,-46.63300077484273,SP
1016,-23.549283671100515,-46.631921331563774,SP
1017,-23.549466383850742,-46.631186758814685,SP
1018,-23.55158623535693,-46.63270720967747,SP
1019,-23.551698499033378,-46.630866968016015,SP
1020,-23.552482452132203,-46.62938955675458,SP
1021,-23.542320771856424,-46.63213185263137,SP
1022,-23.54449190383172,-46.63218004371285,SP
1023,-23.54260295697964,-46.6313376895666,SP
1024,-23.541315283907174,-46.629899396748414,SP
1025,-23.540428325970968,-46.63152530492911,SP
1026,-23.53943245268046,-46.632953890394745,SP
1027,-23.537980703156606,-46.63035127553522,SP
1028,-23.53624171663104,-46.6320595335853,SP
1029,-23.540724476686478,-46.6328817760257,SP
1030,-23.540921999999995,-46.63296206411218,SP
1031,-23.542110048011814,-46.634890086863116,SP
1032,-23.540623983625707,-46.63514262640531,SP
1033,-23.538603223019408,-46.635868193204004,SP
1034,-23.542391912574285,-46.63745558840666,SP
1035,-23.541659448943882,-46.64148171052852,SP
1036,-23.541625027468463,-46.64143354502572,SP
1037,-23.54580760698832,-46.63960229254423,SP
1038,-23.544139809596672,-46.64041077352986,SP
1039,-23.5417538351319,-46.63976074078128,SP
1040,-23.540876706359263,-46.6382183104334,SP
1041,-23.544184893415704,-46.63966881349182,SP
1042,-23.5448295725663,-46.64038839439666,SP
1043,-23.545650980855747,-46.641465617274434,SP
1044,-23.54562699916329,-46.64140988467314,SP
1045,-23.542482773295564,-46.64280268887412,SP
1046,-23.545731279214017,-46.64319019124005,SP
1047,-23.54587978434992,-46.640673717871785,SP
1048,-23.547103098115855,-46.639512925125544,SP
1049,-23.547761339719532,-46.64022954302037,SP
1050,-23.548956086877453,-46.64319114259332,SP
1101,-23.526091267557256,-46.63137211754856,SP
1102,-23.527952103944237,-46.630900325970956,SP
1103,-23.535408394396647,-46.62855836594724,SP
1104,-23.535039835131897,-46.62946211441802,SP
1105,-23.53427140341335,-46.62972092651232,SP
1106,-23.53104352553522,-46.6280616738848,SP
1107,-23.528019075076458,-46.62655988100866,SP
1108,-23.52756187663738,-46.629436653975944,SP
1109,-23.52450999194992,-46.62704378864908,SP
1120,-23.5288626813723,-46.64019685469452,SP
1121,-23.527241874271446,-46.63550866097296,SP
1122,-23.53120949639332,-46.63980763954922,SP
1123,-23.529344993334895,-46.636491483625704,SP
1124,-23.52847956731484,-46.63339392783772,SP
1125,-23.52623535137629,-46.64043299639333,SP
1126,-23.526906233423684,-46.63960905675459,SP
1127,-23.526121442682808,-46.64138590362969,SP
1128,-23.52390834277795,-46.64258274992788,SP
1129,-23.523768482370627,-46.6425945530037,SP
1130,-23.52352437163139,-46.64454366771019,SP
1131,-23.522898793770636,-46.644593715101834,SP
1132,-23.522867455450417,-46.64840659893825,SP
1133,-23.51965249624909,-46.65454102553522,SP
1134,-23.519144011108505,-46.65131035108782,SP
1135,-23.526582496249087,-46.65216092610854,SP
1136,-23.524483332361932,-46.66288140091753,SP
1137,-23.523141120869013,-46.65413736462004,SP
1138,-23.52198252178432,-46.65541993450284,SP
1139,-23.52060064946043,-46.66428988130433,SP
1140,-23.51869033443941,-46.66919713321603,SP
1141,-23.521739474464773,-46.667352862182,SP
1142,-23.51993430515264,-46.6251300217966,SP
1144,-23.52375579312963,-46.67203890632755,SP
1150,-23.53228028143572,-46.65840658367479,SP
1151,-23.530896822085754,-46.65703926395059,SP
1152,-23.53019187857062,-46.65604847051185,SP
1153,-23.53191802914191,-46.65213322446476,SP
1154,-23.530644214957597,-46.65970535227079,SP
1155,-23.5297665,-46.66282356142649,SP
1156,-23.530096042053742,-46.66441390210049,SP
1189,-23.53210825506378,-46.63839470107914,SP
1200,-23.531567773241413,-46.64986907784642,SP
1201,-23.53560024965375,-46.64955156015927,SP
1202,-23.53323440716426,-46.6486904462317,SP
1203,-23.53473037718564,-46.646282931098156,SP
1204,-23.538003498228328,-46.6426298049806,SP
1205,-23.534459286989968,-46.64401134944305,SP
1206,-23.536569999999955,-46.64270499999998,SP
1207,-23.53938724340701,-46.638472709821706,SP
1208,-23.538182474464776,-46.63853302504474,SP
1209,-23.54077376741302,-46.64188441687344,SP
1210,-23.53997818428648,-46.64242852914191,SP
1211,-23.53705769969416,-46.64947645115126,SP
1212,-23.537493461278807,-46.63974517262972,SP
1213,-23.536674628916863,-46.64054782737028,SP
1214,-23.538651213154253,-46.64550614911418,SP
1215,-23.53619810046745,-46.64808511296093,SP
1216,-23.533010790178288,-46.64654567790984,SP
1217,-23.53225462254023,-46.64894614279533,SP
1218,-23.530303980019028,-46.647862496393316,SP
1219,-23.541589587151577,-46.64532990556293,SP
1220,-23.544667702608344,-46.64647349999999,SP
1221,-23.54431365889549,-46.64862436372553,SP
1222,-23.54548114377627,-46.65018175916093,SP
1223,-23.543880251729398,-46.64949020517629,SP
1224,-23.54166498723239,-46.65232991838096,SP
1225,-23.53979052484273,-46.649065971550584,SP
1226,-23.538657070214704,-46.65309888814991,SP
1227,-23.55032645490217,-46.65992584456696,SP
1228,-23.549980767413025,-46.65981855309012,SP
1229,-23.539113681372296,-46.65672261893353,SP
1230,-23.5367325,-46.65783174091119,SP
1231,-23.537368424923542,-46.6596418411045,SP
1232,-23.536619550089497,-46.65947576276761,SP
1233,-23.5355196217035,-46.6617487209302,SP
1234,-23.53896304371285,-46.66413755835592,SP
1235,-23.53783720093491,-46.66494487440135,SP
1236,-23.544444562857105,-46.6673910215823,SP
1237,-23.54343710740668,-46.66857970266179,SP
