,product_category_name,product_category_name_english
0,agro_industria_e_comercio,agro_industry_and_commerce
1,alimentos,food
2,alimentos_bebidas,food_drink
3,artes,art
4,artes_e_artesanato,arts_and_craftmanship
5,artigos_de_festas,party_supplies
6,artigos_de_natal,christmas_supplies
7,audio,audio
8,automotivo,auto
9,bebes,baby
10,bebidas,drinks
11,beleza_saude,health_beauty
12,brinquedos,toys
13,cama_mesa_banho,bed_bath_table
14,casa_conforto,home_confort
15,casa_conforto_2,home_comfort_2
16,casa_construcao,home_construction
17,cds_dvds_musicais,cds_dvds_musicals
18,cine_foto,cine_photo
19,climatizacao,air_conditioning
20,consoles_games,consoles_games
21,construcao_ferramentas_construcao,construction_tools_construction
22,construcao_ferramentas_ferramentas,costruction_tools_tools
23,construcao_ferramentas_iluminacao,construction_tools_lights
24,construcao_ferramentas_jardim,costruction_tools_garden
25,construcao_ferramentas_seguranca,construction_tools_safety
26,cool_stuff,cool_stuff
27,dvds_blu_ray,dvds_blu_ray
28,eletrodomesticos,home_appliances
29,eletrodomesticos_2,home_appliances_2
30,eletronicos,electronics
31,eletroportateis,small_appliances
32,esporte_lazer,sports_leisure
33,fashion_bolsas_e_acessorios,fashion_bags_accessories
34,fashion_calcados,fashion_shoes
35,fashion_esporte,fashion_sport
36,fashion_roupa_feminina,fashio_female_clothing
37,fashion_roupa_infanto_juvenil,fashion_childrens_clothes
38,fashion_roupa_masculina,fashion_male_clothing
39,fashion_underwear_e_moda_praia,fashion_underwear_beach
40,ferramentas_jardim,garden_tools
41,flores,flowers
42,fraldas_higiene,diapers_and_hygiene
43,industria_comercio_e_negocios,industry_commerce_and_business
44,informatica_acessorios,computers_accessories
45,instrumentos_musicais,musical_instruments
46,la_cuisine,la_cuisine
47,livros_importados,books_imported
48,livros_interesse_geral,books_general_interest
49,livros_tecnicos,books_technical
50,malas_acessorios,luggage_accessories
51,market_place,market_place
52,moveis_colchao_e_estofado,furniture_mattress_and_upholstery
53,moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture
54,moveis_decoracao,furniture_decor
55,moveis_escritorio,office_furniture
56,moveis_quarto,furniture_bedroom
57,moveis_sala,furniture_living_room
58,musica,music
59,papelaria,stationery
60,pcs,computers
61,perfumaria,perfumery
62,pet_shop,pet_shop
63,portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee
64,relogios_presentes,watches_gifts
65,seguros_e_servicos,security_and_services
66,sinalizacao_e_seguranca,signaling_and_security
67,tablets_impressao_imagem,tablets_printing_image
68,telefonia,telephony
69,telefonia_fixa,fixed_telephony
70,utilidades_domesticas,housewares
